identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/alarmType,product/availability,product/cacheEngine,product/callingType,product/capacitystatus,product/clockSpeed,product/country,product/cputype,product/currentGeneration,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/description,product/durability,product/ecu,product/edition,product/endpointType,product/engineCode,product/enhancedNetworkingSupported,product/executionFrequency,product/executionLocation,product/frequencyMode,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/licenseModel,product/lineType,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/memorytype,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/queueType,product/region,product/requestType,product/servicecode,product/servicename,product/sku,product/softwareType,product/storage,product/storageClass,product/storageMedia,product/storageType,product/subscriptionType,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/version,product/volumeType,pricing/RateId,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue
m3pes4ecp2wol6itr7wbsljvoqdiwm43h37yr3pmzv2tqxialpaq,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T06:00:00Z,2019-11-01T07:00:00Z,AmazonCloudWatch,APN1-TimedStorage-ByteHrs,HourlyStorageMetering,,arn:aws:logs:ap-northeast-1:453375140098:log-group:CloudTrail/swgw-poc-trail,0.0000234711,,,USD,0.0330000000,0.0000007745,0.0330000000,0.0000007745,$0.033 per GB-mo of log storage - Asia Pacific (Tokyo),,"Amazon Web Services, Inc.",AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,Storage Snapshot,,ap-northeast-1,,AmazonCloudWatch,AmazonCloudWatch,42CVQU4BPES8AWHC,,,,Amazon S3,,,,,,,APN1-TimedStorage-ByteHrs,,Current,,535816625,0.0000007745,0.0330000000,OnDemand,GB-Mo,,,,,,,,,2636110885,,,,,,,,
67l7eo2hcqkdwzotx6z5ohquug5qaidrbodieqwafgx2z4tnehbq,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T07:00:00Z,2019-11-01T08:00:00Z,AmazonEC2,APN1-APN2-AWS-Out-Bytes,RunInstances,,i-0f4d2076ecd2d958a,0.0000686944,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.000 per GB - data transfer out under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,ap-northeast-1,,AWSDataTransfer,AWS Data Transfer,Q2MP8J3DYTZ3QPQB,,,,,,,,Asia Pacific (Seoul),AWS Region,InterRegion Outbound,APN1-APN2-AWS-Out-Bytes,,,,615715282,0.0000061825,0.0900000000,,GB,,,,,,,,,2636110802,,,,,,,,
44f3y7duo3y3xhgugwnui65qqub6itqydp3l4dp3ddjaorzfwulq,2019-11-02T00:00:00Z/2019-11-03T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-02T00:00:00Z,2019-11-02T01:00:00Z,AmazonEC2,APN1-EBSOptimized:m4.xlarge,Hourly,ap-northeast-1a,i-05fda4db8d3f504d6,0.6925000000,8,5.5400000000,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.000 for 750 Mbps per m4.xlarge instance-hour (or partial hour),,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,NA,2.4  GHz,,,Yes,,750 Mbps,,,,13,,,,Yes,,,,,,,,General purpose,m4.xlarge,,NA,,Asia Pacific (Tokyo),AWS Region,,,,,16 GiB,,,,,High,8,NA,Hourly,Intel Xeon E5-2676 v3 (Haswell),NA,64-bit,Intel AVX; Intel AVX2; Intel Turbo,Compute Instance,,ap-northeast-1,,AmazonEC2,Amazon Elastic Compute Cloud,GHD3QZ6M6CX9MSC6,,EBS only,,,,,NA,,,,APN1-EBSOptimized:m4.xlarge,4,,,746969659,0.0000000000,0.0000000000,OnDemand,Hrs,,,,,,,,,2636110801,,,,,,,,
naa5euuqqct4fogrgwm2aohsbwsdehwdvjhi4ieveqc6duqa54iq,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T02:00:00Z,2019-11-01T06:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadLogProps,,inoue-sgws-poc,2.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,API Request,,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,,,,,,,APN1-Requests-Tier2,,,,535686795,0.0000007400,0.0000003700,,Requests,,,,,,,,,2636110799,,,,,,,,
6zmn2jp77men3mjyml5gxbwnr35rxvnkwre2cw4bt36wkcunyluq,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T00:00:00Z,2019-11-01T13:00:00Z,AmazonEC2,APN1-DataTransfer-Regional-Bytes,InterZone-Out,,i-0fcc2f9d9e5aa9f33,0.0000275790,,,USD,0.0100000000,0.0000002756,0.0100000000,0.0000002756,$0.01 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,,ap-northeast-1,,AWSDataTransfer,AWS Data Transfer,RVH645383RKU285J,,,,,,,,Asia Pacific (Tokyo),AWS Region,IntraRegion,APN1-DataTransfer-Regional-Bytes,,,,615253311,0.0000002758,0.0100000000,OnDemand,GB,,,,,,,,,2636110802,,,,,,,,
yozk35672pdnqfp4ghay6pshnn7sx35zc62w23vm6ds6uyvbc42q,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T05:00:00Z,2019-11-01T06:00:00Z,AmazonECS,APN1-Fargate-vCPU-Hours:perCPU,FargateTask,,arn:aws:ecs:ap-northeast-1:453375140098:task/f300a121-b4d4-48ad-8490-29e7bc400bb1,0.0083333333,,,USD,0.0505600000,0.0004213333,0.0505600000,0.0004213333,AWS Fargate - vCPU  - Asia Pacific (Tokyo),,"Amazon Web Services, Inc.",Amazon EC2 Container Service,,,,,,,,perCPU,,,,,,,,,,,,,,,,,,,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,Compute,,ap-northeast-1,,AmazonECS,Amazon EC2 Container Service,KBQ3Q6DY9J327G8N,,,,,,,Shared,,,,APN1-Fargate-vCPU-Hours:perCPU,,,,645494510,0.0004213333,0.0505600000,OnDemand,hours,,,,,,,,,2636110903,,,,,,,,
2lw3f5aputh6hyzd5caygmvqufet7qlc5uq4miz77iq6lingtcna,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T02:00:00Z,2019-11-01T03:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadLogProps,,swgw-taskdefinitions-s3bucket,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,API Request,,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,,,,,,,APN1-Requests-Tier2,,,,535686795,0.0000003700,0.0000003700,,Requests,,,,,,,,,2636110799,,,,,,,,
gpxro4vvreo6jjqnd4qdwcsx4knbkt7yxeiw7prhj3vcvic3bara,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T05:00:00Z,2019-11-01T08:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketServerSideEncryption,,shimono-test-alb-log,56.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,API Request,,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,,,,,,,APN1-Requests-Tier2,,,,535686795,0.0000207200,0.0000003700,,Requests,,,,,,,,,2636110799,,,,,,,,
dsfxqp7dyi6jtmerrlxc4ptp64u4o2rwh6te6qbh6lvdj3b7g2iq,2019-11-01T00:00:00Z/2019-11-02T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-01T06:00:00Z,2019-11-01T07:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketWebsite,,cloud-tail-event,2.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,,,,,,,,,,,,,,,,,,,S3-API-Tier2,GET and all other requests,,,,,,Asia Pacific (Tokyo),AWS Region,,,,,,,,,,,,,,,,,,API Request,,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,,,,,,,APN1-Requests-Tier2,,,,535686795,0.0000007400,0.0000003700,,Requests,,,,,,,,,2636110799,,,,,,,,
uteg5hmcaepbqik4jct63sufkvlqsf3nkvetzbmj5mcxio6dcysq,2019-11-03T00:00:00Z/2019-11-04T00:00:00Z,,AWS,Anniversary,453375140098,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,453375140098,Usage,2019-11-03T00:00:00Z,2019-11-03T09:00:00Z,AmazonEC2,APN1-LoadBalancerUsage,LoadBalancing:Application,,arn:aws:elasticloadbalancing:ap-northeast-1:453375140098:loadbalancer/app/second-kobetsu-alb/8462f3f32f4fdd83,9.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per Application LoadBalancer-hour (or partial hour) under monthly free tier,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ap-northeast-1,,,,VTP436H7AQJ3SXV6,,,,,,,,,,,,,,,746009964,,,,Hrs,,,,,,,,,2636110801,,,,,,,,
